CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Shelburne,"209 Marsett Rd, Shelburne, VT 05482",intersection of Marsett Rd & Maplewood Dr,New crosswalk. It's one of a number of pedestrian improvements led by community members around Shelburne Village,1,2020,,,Shelburne Village Pedestrian Safety Group,https://www.localmotion.org/projects_shelburne_village_pedestrian_safety_group,,,,,,,,,,,,,,,,,
South Burlington,"200 Allen Rd, South Burlington, VT 05403",Allen Road between Baycrest Dr & Spear St,"800' of 10'-wide paved shared use path, closing gap in path network, inc bike boxes at Spear St traffic light",3,2021,,,"South Burlington Bike/Ped Committee, South Burlington Pennies for Paths initiative",https://www.southburlingtonvt.gov/residents/upper_allen_road_shared_use_path.php,,,,,,,,,,,,,,,,,
South Burlington,"1600 Marshall Ave, Williston, VT 05495",Kimball/Marshall Avenue over Muddy Brook,"Bridge & culvert replacement project, including rec path for pedestrians & bikes",3,2021,,TAP 2020,,https://sburlstormwater.com/muddy-brook-culvert-replacement/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F200,,,,,,,,,,,,,,,,
South Burlington,"25-73 Kennedy Dr, South Burlington, VT 05403",Kennedy Dr at Twin Oaks Terrace,"Crosswalk improvements, inc flashing beacons",1,2023,,"BP 2021, Pennies for Paths",South Burlington Bike/Ped Committee,,,,,,,,,,,,,,,,,,
South Burlington,,"Market Street between Dorset St and Hinesburg Rd
",Route redesign to travel along Market St and schedule adjustments to provide 20 min or better frequencies inbound and outbound between South Burlington City Center and the DTC in Burlington. ,,2025,,,GMT,https://ridegmt.com/public-hearings/,,,,,,,,,,,,,,,,,
South Burlington,,Patchen Road at Jaycee Park,,,2024,,Pennies for Paths,South Burlington Public works,,,,,,,,,,,,,,,,,,
South Burlington,,Spear Street at East Terrace/US 2 Jughandle,,,2020,,Pennies for Paths,"South Burlington, Pennies for Paths",,,,,,,,,,,,,,,,,,
South Burlington,,Spear Street from Swift Street to Allen Road,Restriping of Spear Street to narrow travel lanes to 10' making room for bike lanes on both sides of the road.,,2023,,,South Burlington Public works,,,,,,,,,,,,,,,,,,
South Burlington,"5 Pine Tree Terrace, South Burlington, VT 05403",Williston Rd at Pine Tree Terrace/Davis Parkway & between Victory Dr & Mills Ave,2 new crosswalks with pedestrian refuges & flashing beacons,1,2023,,"BP 2021, Pennies for Paths","South Burlington, Pennies for Paths",https://www.southburlingtonvt.gov/residents/williston_road_crosswalks.php,,,,,,,,,,,,,,,,,
Underhill,"451 VT-15, Underhill, VT 05489",VT Rt 15 from Dumas Rd to Park St,Sidewalk,1,2021,,BP 2013 + 2021,Town of Underhill,,,,,,,,,,,,,,,,,,
